id,email,first_name,last_name,country,city,industry,number_of_employees,annual_revenue,job_title,seniority,deal_stage,deal_type,pipeline,amount,close_date,inbound_source,deal_source_of_the_deal,lifecycle_stage,lead_status,has_meeting,meeting_count,days_to_demo
1,camila.suarez10@outlook.com,Camila,Suárez,Chile,Valparaíso,Logística,7516,864513852,HR Director,Manager,lost,New Business,Enterprise,29534,2026-10-18,Organic,organic_seo,lead,unqualified,true,1,10
2,patricia.suarez89@finanzasinc.co,Patricia,Suárez,Colombia,Cali,Finanzas,7247,994250803,Chief People Officer,C-Level / VP,champion engaged,New Business,Outbound,32032,,Instagram,instagram_paid_stories,sales qualified lead,open deal,true,2,40
3,jimena.munoz49@telecomunicacionescorp.mx,Jimena,Muñoz,Perú,Piura,Telecomunicaciones,75,19717909,People Operations Manager,Manager,demo,New Business,Partnerships,7716,,LinkedIn,linkedin_paid_awareness,sales qualified lead,open deal,false,0,
4,jorge.flores34@retailcorp.cl,Jorge,Flores,Brasil,Rio de Janeiro,Retail,279,26336238,HR Manager,Manager,lost,New Business,Inbound,13460,2025-04-25,Referral,referral_organic,lead,bad timing,true,4,21
5,pablo.reyes66@gmail.com,Pablo,Reyes,Colombia,Cartagena,Retail,381,50380934,Employee Experience Manager,Manager,lead,New Business,Partnerships,,,Facebook,facebook_paid_prospecting,lead,open,false,0,
6,sergio.navarro18@finanzassrl.com.ar,Sergio,Navarro,España,Sevilla,Finanzas,34,2204508,HR Generalist,IC,approaching,New Business,Inbound,,,Event,event_conference,lead,new,false,0,
7,natalia.navarro92@educacioncorp.com.ar,Natalia,Navarro,Brasil,Curitiba,Educación,35,2468510,People Operations Coordinator,IC,lead,New Business,Inbound,,,Facebook,facebook_paid_retargeting,lead,new,false,0,
8,luis.munoz7@gmail.com,Luis,Muñoz,España,Barcelona,Finanzas,34,4506628,Employee Experience Manager,Manager,discovery,New Business,Inbound,,,Google,google_paid_search,marketing qualified lead,in progress,true,2,19
9,martin.gutierrez51@alimentacioncorp.com,Martín,Gutiérrez,Perú,Chiclayo,Alimentación,232,52191862,HR Generalist,IC,approaching,New Business,Partnerships,,,Referral,referral_organic,lead,new,true,1,17
10,matias.garcia20@retailsrl.mx,Matías,García,México,Tijuana,Retail,3981,807114439,Founder & CEO,C-Level / VP,lost,New Business,Enterprise,32934,2025-03-24,Facebook,facebook_paid_retargeting,lead,bad timing,true,3,40
11,elena.ramirez96@manufacturatech.com.ar,Elena,Ramírez,Colombia,Cartagena,Manufactura,30,720525,HR Assistant,IC,approaching,New Business,Inbound,,,Facebook,facebook_paid_lookalike,lead,new,false,0,
12,maria.fernandez2@manufacturainc.cl,María,Fernández,Chile,Santiago,Manufactura,83,16923182,HR Business Partner,Manager,lost,New Business,Inbound,14100,2025-07-26,Google,google_paid_display,lead,bad timing,true,7,45
13,andres.diaz6@telecomunicacionesinc.com.ar,Andrés,Díaz,Perú,Chiclayo,Telecomunicaciones,350,59507131,HR Systems Architect,Technical,decision maker engaged,New Business,Outbound,6680,2026-09-12,Event,event_conference,sales qualified lead,open deal,true,6,21
14,andres.suarez94@educacionsrl.com,Andrés,Suárez,Chile,Valparaíso,Educación,168,10183882,Chief People Officer,C-Level / VP,pilot,New Business,Inbound,23472,2024-05-09,Referral,referral_organic,opportunity,open deal,false,0,
15,veronica.romero49@outlook.com,Verónica,Romero,España,Barcelona,Construcción,121,5957143,Workforce Manager,Manager,discovery,New Business,Inbound,,,Instagram,instagram_paid_reels,marketing qualified lead,open,false,0,
16,vanessa.fernandez69@educacioninc.com.ar,Vanessa,Fernández,España,Madrid,Educación,316,77664529,HR Analyst,IC,lost,New Business,Inbound,6172,2025-05-31,Google,google_paid_display,lead,bad timing,true,1,45
17,valentina.medina5@educaciontech.com.ar,Valentina,Medina,Brasil,Porto Alegre,Educación,742,132257669,Director General,C-Level / VP,decision maker engaged,New Business,Enterprise,45713,2026-09-28,Referral,referral_organic,sales qualified lead,open deal,false,0,
18,gabriela.alvarez41@construccionsa.mx,Gabriela,Álvarez,Chile,Antofagasta,Construcción,367,17201651,VP of Human Resources,C-Level / VP,discovery,New Business,Inbound,,,LinkedIn,linkedin_paid_retargeting,marketing qualified lead,in progress,false,0,
19,valentina.munoz57@logisticainc.co,Valentina,Muñoz,Chile,Concepción,Logística,4132,761015071,HRIS Specialist,Technical,won,New Business,Outbound,38540,2026-04-23,Instagram,instagram_paid_feed,customer,open deal,true,7,3
20,gustavo.perez8@saludsa.cl,Gustavo,Pérez,España,Madrid,Salud,49,518657,HR Director,Manager,lost,New Business,Partnerships,12182,2026-03-09,Organic,organic_seo,lead,unqualified,true,6,40
21,vanessa.sanchez62@alimentaciongroup.com,Vanessa,Sánchez,Argentina,Tucumán,Alimentación,639,171796468,Payroll Manager,Manager,demo,New Business,Outbound,8837,,LinkedIn,linkedin_paid_awareness,sales qualified lead,open deal,false,0,
22,isabella.ramirez56@retailcorp.cl,Isabella,Ramírez,Colombia,Cali,Retail,3448,910995117,Organizational Development Specialist,Technical,decision maker engaged,New Business,Outbound,17831,2025-12-28,Event,event_conference,sales qualified lead,open deal,false,0,
23,nicolas.rojas50@logisticasolutions.mx,Nicolás,Rojas,Perú,Lima,Logística,863,195636002,Recruiter,IC,approaching,New Business,Enterprise,,,Facebook,facebook_paid_lookalike,lead,new,false,0,
24,isabella.alvarez17@educaciontech.cl,Isabella,Álvarez,Colombia,Cartagena,Educación,3291,685473020,Organizational Development Specialist,Technical,champion engaged,New Business,Enterprise,18511,,Instagram,instagram_paid_stories,sales qualified lead,open deal,true,2,27
25,patricia.cabrera47@manufacturatech.co,Patricia,Cabrera,Chile,Valparaíso,Manufactura,479,64348154,VP of People,C-Level / VP,discovery,New Business,Partnerships,,,LinkedIn,linkedin_paid_conversion,marketing qualified lead,open,false,0,
26,daniela.navarro87@gmail.com,Daniela,Navarro,Argentina,Buenos Aires,Finanzas,458,66401771,Recruiter,IC,prequalified,New Business,Inbound,,,Instagram,instagram_paid_feed,marketing qualified lead,in progress,false,0,
27,santiago.medina37@telecomunicacionessa.cl,Santiago,Medina,Argentina,Tucumán,Telecomunicaciones,717,163082100,Workforce Manager,Manager,pilot,New Business,Outbound,12564,2026-02-20,LinkedIn,linkedin_paid_retargeting,opportunity,open deal,false,0,
28,gabriela.navarro59@outlook.com,Gabriela,Navarro,México,Ciudad de México,Tecnología,118,8367468,HR Coordinator,IC,approaching,New Business,Partnerships,,,Facebook,facebook_paid_retargeting,lead,new,false,0,
29,ricardo.rivera76@manufacturasrl.co,Ricardo,Rivera,Colombia,Cali,Manufactura,765,109325789,Compensation & Benefits Manager,Manager,lost,New Business,Enterprise,15866,2024-09-14,Instagram,instagram_paid_stories,lead,bad timing,true,3,38
30,javier.medina13@finanzasinc.cl,Javier,Medina,Colombia,Medellín,Finanzas,154,15333676,Operations Manager,Manager,lost,New Business,Inbound,6288,2024-04-02,Organic,organic_seo,lead,bad timing,true,8,42
31,veronica.flores21@telecomunicacionescorp.co,Verónica,Flores,Chile,Valparaíso,Telecomunicaciones,118,2853213,VP of People,C-Level / VP,won,New Business,Outbound,34701,2026-12-18,Facebook,facebook_paid_retargeting,customer,open deal,true,3,8
32,patricia.vargas59@finanzasinc.co,Patricia,Vargas,Argentina,Córdoba,Finanzas,48,1827947,HR Analyst,IC,final negotiation,New Business,Partnerships,13309,2025-07-22,Facebook,facebook_paid_prospecting,opportunity,open deal,true,5,6
33,natalia.diaz38@alimentacioncorp.cl,Natalia,Díaz,México,Ciudad de México,Alimentación,3143,308505380,CHRO,C-Level / VP,demo,New Business,Enterprise,131614,,Referral,referral_organic,sales qualified lead,open deal,true,3,30
34,martin.romero61@gmail.com,Martín,Romero,Brasil,Porto Alegre,Logística,949,57686337,Workforce Manager,Manager,pilot,New Business,Outbound,26681,2025-04-18,LinkedIn,linkedin_paid_conversion,opportunity,open deal,true,6,5
35,natalia.alvarez43@finanzasgroup.cl,Natalia,Álvarez,Perú,Piura,Finanzas,407,28135633,People Operations Coordinator,IC,prequalified,New Business,Outbound,,,Instagram,instagram_paid_reels,marketing qualified lead,open,false,0,
36,matias.chavez22@construccioncorp.mx,Matías,Chávez,Colombia,Cali,Construcción,289,65646852,CFO,C-Level / VP,won,Upsell,Partnerships,13074,2024-02-15,Organic,organic_seo,customer,open deal,true,2,4
37,sofia.alvarez62@retailinc.com,Sofía,Álvarez,México,Monterrey,Retail,468,48157633,HR Analyst,IC,champion engaged,New Business,Partnerships,8696,,Facebook,facebook_paid_lookalike,sales qualified lead,open deal,false,0,
38,hernan.jimenez17@telecomunicacionesinc.mx,Hernán,Jiménez,Argentina,Córdoba,Telecomunicaciones,740,190847950,Workforce Planning Analyst,Technical,pilot,New Business,Outbound,13081,2026-09-21,Organic,organic_seo,opportunity,open deal,true,4,28
39,isabella.reyes63@construccioninc.co,Isabella,Reyes,Argentina,Rosario,Construcción,30,3947648,Benefits Coordinator,IC,won,New Business,Partnerships,7022,2026-04-16,Instagram,instagram_paid_reels,customer,open deal,true,8,23
40,daniela.cruz60@construccionsolutions.co,Daniela,Cruz,Brasil,Belo Horizonte,Construcción,363,61948483,HR Assistant,IC,prequalified,New Business,Inbound,,,Facebook,facebook_paid_retargeting,marketing qualified lead,open,false,0,
